Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001343/00000002.MF4;Lower;2025-08-12T17:58:37+00:00;2025-08-12T18:09:44.364000+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001344/00000001.MF4;Lower;2025-08-12T18:09:52+00:00;2025-08-12T18:29:59.977550+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001344/00000002.MF4;Lower;2025-08-12T18:09:52+00:00;2025-08-12T18:31:48.288200+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001345/00000001.MF4;Lower;2025-08-13T16:07:00+00:00;2025-08-13T16:07:43.726500+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001346/00000001.MF4;Lower;2025-08-13T16:07:47+00:00;2025-08-13T16:19:55.526850+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001347/00000001.MF4;Lower;2025-08-13T16:39:06+00:00;2025-08-13T16:59:59.966600+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001347/00000002.MF4;Lower;2025-08-13T16:39:06+00:00;2025-08-13T17:29:59.973800+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001347/00000003.MF4;Lower;2025-08-13T16:39:06+00:00;2025-08-13T17:59:59.987750+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001347/00000004.MF4;Lower;2025-08-13T16:39:06+00:00;2025-08-13T18:29:59.966650+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001347/00000005.MF4;Lower;2025-08-13T16:39:06+00:00;2025-08-13T18:59:59.970100+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001347/00000006.MF4;Lower;2025-08-13T16:39:06+00:00;2025-08-13T19:21:11.953900+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001348/00000001.MF4;Lower;2025-08-13T19:21:17+00:00;2025-08-13T19:29:59.978000+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001348/00000002.MF4;Lower;2025-08-13T19:21:17+00:00;2025-08-13T19:59:59.973300+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001348/00000003.MF4;Lower;2025-08-13T19:21:17+00:00;2025-08-13T20:02:31.410900+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001349/00000001.MF4;Lower;2025-08-14T15:52:29+00:00;2025-08-14T15:59:59.996000+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001349/00000002.MF4;Lower;2025-08-14T15:52:29+00:00;2025-08-14T16:29:59.990100+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001349/00000003.MF4;Lower;2025-08-14T15:52:29+00:00;2025-08-14T16:59:59.966600+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001349/00000004.MF4;Lower;2025-08-14T15:52:29+00:00;2025-08-14T17:29:59.996650+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001349/00000005.MF4;Lower;2025-08-14T15:52:29+00:00;2025-08-14T17:59:59.965850+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001349/00000006.MF4;Lower;2025-08-14T15:52:29+00:00;2025-08-14T18:29:59.978900+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001349/00000007.MF4;Lower;2025-08-14T15:52:29+00:00;2025-08-14T18:59:59.987400+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001350/00000001.MF4;Lower;2025-08-15T15:48:59+00:00;2025-08-15T15:59:59.986500+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001350/00000002.MF4;Lower;2025-08-15T15:48:59+00:00;2025-08-15T16:29:59.968650+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001350/00000003.MF4;Lower;2025-08-15T15:48:59+00:00;2025-08-15T16:59:59.997100+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001350/00000004.MF4;Lower;2025-08-15T15:48:59+00:00;2025-08-15T17:29:59.982300+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001350/00000005.MF4;Lower;2025-08-15T15:48:59+00:00;2025-08-15T17:59:59.971250+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001350/00000006.MF4;Lower;2025-08-15T15:48:59+00:00;2025-08-15T18:29:59.981000+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001350/00000007.MF4;Lower;2025-08-15T15:48:59+00:00;2025-08-15T18:59:59.985300+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001350/00000008.MF4;Lower;2025-08-15T15:48:59+00:00;2025-08-15T19:14:23.801200+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001351/00000001.MF4;Lower;2025-08-19T17:41:40+00:00;2025-08-19T17:49:40.541050+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001352/00000001.MF4;Lower;2025-08-19T17:49:46+00:00;2025-08-19T17:59:59.977050+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001352/00000002.MF4;Lower;2025-08-19T17:49:46+00:00;2025-08-19T18:29:59.976250+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001352/00000003.MF4;Lower;2025-08-19T17:49:46+00:00;2025-08-19T18:59:59.955600+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001352/00000004.MF4;Lower;2025-08-19T17:49:46+00:00;2025-08-19T19:29:59.974450+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001352/00000005.MF4;Lower;2025-08-19T17:49:46+00:00;2025-08-19T19:32:13.934400+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001353/00000001.MF4;Lower;2025-08-27T16:01:38+00:00;2025-08-27T16:20:02.931000+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001354/00000001.MF4;Lower;2025-08-27T16:20:06+00:00;2025-08-27T16:29:59.973650+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001354/00000002.MF4;Lower;2025-08-27T16:20:06+00:00;2025-08-27T16:51:40.331250+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001355/00000001.MF4;Lower;2025-08-27T16:52:44+00:00;2025-08-27T16:59:58.957300+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001355/00000002.MF4;Lower;2025-08-27T16:52:44+00:00;2025-08-27T17:00:31.174350+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001356/00000001.MF4;Lower;2025-08-27T17:00:48+00:00;2025-08-27T17:29:59.976900+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001356/00000002.MF4;Lower;2025-08-27T17:00:48+00:00;2025-08-27T17:59:59.968550+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001356/00000003.MF4;Lower;2025-08-27T17:00:48+00:00;2025-08-27T18:29:59.968950+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001356/00000004.MF4;Lower;2025-08-27T17:00:48+00:00;2025-08-27T18:38:43.630650+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001357/00000001.MF4;Lower;2025-08-27T20:20:49+00:00;2025-08-27T20:29:59.968800+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001357/00000002.MF4;Lower;2025-08-27T20:20:49+00:00;2025-08-27T20:47:24.870350+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001358/00000001.MF4;Lower;2025-08-27T20:47:30+00:00;2025-08-27T20:59:59.989050+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001358/00000002.MF4;Lower;2025-08-27T20:47:30+00:00;2025-08-27T21:29:59.971350+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001358/00000003.MF4;Lower;2025-08-27T20:47:30+00:00;2025-08-27T21:59:59.957700+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001358/00000004.MF4;Lower;2025-08-27T20:47:30+00:00;2025-08-27T22:29:59.968550+00:00
Epiroc/Rig Crew - Private - General/5. Testing/CANEdge/Lower/5A72CE4C/00001359/00000001.MF4;Lower;2025-08-28T17:12:22+00:00;2025-08-28T17:13:28.490150+00:00
